0, 1, 30, 0, 0, 0, 2
0, 1, 28, 1, 1, 0, 1
1, 0, 7, 0, 0, 0, 0
1, 1, 1, 0, 1, 1, 2
2, 0, 3, 0, 0, 0, 0
2, 1, 11, 2, 1, 0, 2
2, 1, 10, 2, 0, 1, 2
2, 1, 22, 1, 0, 1, 2
3, 1, 20, 0, 0, 1, 0
3, 1, 27, 0, 0, 1, 1
3, 0, 8, 0, 0, 0, 0
4, 1, 30, 1, 0, 1, 1
4, 1, 10, 2, 0, 1, 1
4, 1, 30, 0, 1, 1, 2
5, 1, 14, 2, 1, 0, 1
6, 1, 6, 0, 0, 1, 1
7, 1, 20, 1, 1, 0, 2
7, 1, 28, 0, 1, 1, 2
7, 1, 8, 2, 1, 1, 0
7, 0, 3, 0, 0, 0, 0
8, 1, 17, 2, 1, 0, 0
8, 1, 30, 0, 0, 1, 2
8, 0, 5, 0, 0, 0, 0
8, 0, 3, 0, 0, 0, 0
8, 1, 29, 1, 0, 0, 0
9, 1, 4, 1, 0, 1, 0
10, 0, 8, 0, 0, 0, 0
10, 1, 27, 2, 1, 1, 2
11, 0, 4, 0, 0, 0, 0
11, 1, 4, 1, 0, 1, 1
11, 1, 15, 2, 1, 0, 1
11, 1, 6, 0, 0, 0, 1
12, 1, 30, 0, 0, 0, 1
12, 0, 6, 0, 0, 0, 0
